<GROUP>,,
</GROUP>,,
<ERRCODE>,,
36FF,"自局番(MAC ID)の値が，範囲外。
モードスイッチの値が範囲外。","・自局番を0～63の間で設定する。
・モードスイッチをD～F以外に設定する。"
2A39,"（対象局番：57局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A3A,"（対象局番：58局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A3B,"（対象局番：59局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A3C,"（対象局番：60局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A3D,"（対象局番：61局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A3E,"（対象局番：62局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A3F,"（対象局番：63局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2B00,"（対象局番：00局）
ポーリング応答の分割受信で，
1番目の分割データを2回受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2B01,"（対象局番：01局）
ポーリング応答の分割受信で，
1番目の分割データを2回受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2B02,"（対象局番：02局）
ポーリング応答の分割受信で，
1番目の分割データを2回受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2B03,"（対象局番：03局）
ポーリング応答の分割受信で，
1番目の分割データを2回受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2B04,"（対象局番：04局）
ポーリング応答の分割受信で，
1番目の分割データを2回受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
